source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",GO:0044769,TRUE,0.046417707,1.333316314,23,450,5,17566,"LOC111100011,LOC111100677,LOC111123623,LOC111125836,LOC111137078"
GO:MF,ATPase-coupled ion transmembrane transporter activity,GO:0042625,FALSE,0.046417707,1.333316314,23,450,5,17566,"LOC111100011,LOC111100677,LOC111123623,LOC111125836,LOC111137078"
GO:MF,"proton-transporting ATPase activity, rotational mechanism",GO:0046961,FALSE,0.046417707,1.333316314,23,450,5,17566,"LOC111100011,LOC111100677,LOC111123623,LOC111125836,LOC111137078"
GO:BP,translation,GO:0006412,TRUE,1.61E-58,57.79437913,247,356,85,9567,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105223,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111112573,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111129902,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111107427,LOC111121303,LOC111121432,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111136578,LOC111136789,LOC111136890,LOC111137692"
GO:BP,peptide biosynthetic process,GO:0043043,FALSE,2.37E-57,56.62589056,254,356,85,9567,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105223,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111112573,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111129902,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111107427,LOC111121303,LOC111121432,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111136578,LOC111136789,LOC111136890,LOC111137692"
GO:BP,peptide metabolic process,GO:0006518,FALSE,1.94E-56,55.71138699,283,356,88,9567,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105223,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111112573,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111129902,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111107427,LOC111117872,LOC111121303,LOC111121432,LOC111122278,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111135352,LOC111136578,LOC111136789,LOC111136890,LOC111137692"
GO:BP,amide biosynthetic process,GO:0043604,FALSE,1.34E-55,54.87352517,265,356,85,9567,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105223,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111112573,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111129902,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111107427,LOC111121303,LOC111121432,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111136578,LOC111136789,LOC111136890,LOC111137692"
GO:BP,amide metabolic process,GO:0043603,FALSE,9.66E-52,51.01486476,317,356,88,9567,"LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105223,LOC111105616,LOC111106322,LOC111106468,LOC111111438,LOC111112573,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129410,LOC111129902,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131662,LOC111132903,LOC111135077,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111107427,LOC111117872,LOC111121303,LOC111121432,LOC111122278,LOC111125877,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111135352,LOC111136578,LOC111136789,LOC111136890,LOC111137692"
GO:BP,gene expression,GO:0010467,FALSE,3.84E-40,39.41528325,1506,356,163,9567,"LOC111099660,LOC111099922,LOC111100610,LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111102916,LOC111103110,LOC111103789,LOC111105223,LOC111105616,LOC111106322,LOC111106468,LOC111110592,LOC111111438,LOC111112573,LOC111114067,LOC111114632,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118248,LOC111118274,LOC111118348,LOC111118413,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121660,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124697,LOC111124874,LOC111125137,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111125826,LOC111125966,LOC111126040,LOC111126078,LOC111126128,LOC111126179,LOC111126281,LOC111126498,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128102,LOC111128580,LOC111128745,LOC111129014,LOC111129410,LOC111129902,LOC111130067,LOC111130094,LOC111130771,LOC111131049,LOC111131082,LOC111131216,LOC111131662,LOC111132047,LOC111132207,LOC111132305,LOC111132903,LOC111133056,LOC111133772,LOC111134319,LOC111135077,LOC111135210,LOC111135849,LOC111136230,LOC111136247,LOC111136406,LOC111136425,LOC111136468,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111100903,LOC111101857,LOC111102640,LOC111102825,LOC111104584,LOC111105915,LOC111107427,LOC111108785,LOC111110150,LOC111110798,LOC111117872,LOC111119151,LOC111119625,LOC111120649,LOC111120664,LOC111120820,LOC111120984,LOC111121289,LOC111121303,LOC111121432,LOC111121760,LOC111122018,LOC111123159,LOC111123590,LOC111123693,LOC111123724,LOC111124912,LOC111125877,LOC111125980,LOC111125990,LOC111126088,LOC111126771,LOC111128646,LOC111128900,LOC111128939,LOC111129496,LOC111130641,LOC111130763,LOC111131076,LOC111131116,LOC111131718,LOC111132883,LOC111133074,LOC111133190,LOC111133404,LOC111134475,LOC111134635,LOC111134884,LOC111135038,LOC111135100,LOC111135352,LOC111135492,LOC111136205,LOC111136320,LOC111136413,LOC111136465,LOC111136578,LOC111136789,LOC111136890,LOC111137300,LOC111137332,LOC111137692,LOC111138173,LOC111138463"
GO:BP,macromolecule biosynthetic process,GO:0009059,FALSE,1.08E-35,34.96724203,1700,356,167,9567,"LOC111099650,LOC111099660,LOC111099922,LOC111100610,LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111102916,LOC111103110,LOC111103789,LOC111105223,LOC111105616,LOC111106109,LOC111106322,LOC111106468,LOC111110592,LOC111111438,LOC111112573,LOC111114067,LOC111114632,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118222,LOC111118248,LOC111118274,LOC111118348,LOC111118413,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121660,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124697,LOC111124874,LOC111125137,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111125826,LOC111125966,LOC111126040,LOC111126078,LOC111126128,LOC111126179,LOC111126281,LOC111126498,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128102,LOC111128580,LOC111128745,LOC111129014,LOC111129410,LOC111129902,LOC111130067,LOC111130094,LOC111130771,LOC111131049,LOC111131082,LOC111131216,LOC111131577,LOC111131662,LOC111132047,LOC111132207,LOC111132305,LOC111132903,LOC111133056,LOC111133772,LOC111134319,LOC111135077,LOC111135210,LOC111135849,LOC111136230,LOC111136247,LOC111136406,LOC111136425,LOC111136468,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111100903,LOC111101857,LOC111102640,LOC111102825,LOC111104584,LOC111105915,LOC111107427,LOC111108785,LOC111110150,LOC111110798,LOC111117872,LOC111119151,LOC111119625,LOC111120649,LOC111120664,LOC111120820,LOC111120984,LOC111121289,LOC111121303,LOC111121432,LOC111121760,LOC111122018,LOC111123159,LOC111123590,LOC111123693,LOC111123724,LOC111124912,LOC111125877,LOC111125980,LOC111125990,LOC111126088,LOC111126771,LOC111128646,LOC111128900,LOC111128939,LOC111129496,LOC111130641,LOC111130763,LOC111131076,LOC111131116,LOC111131718,LOC111132883,LOC111133074,LOC111133190,LOC111133404,LOC111134475,LOC111134635,LOC111134884,LOC111135038,LOC111135100,LOC111135352,LOC111135492,LOC111136205,LOC111136320,LOC111136413,LOC111136465,LOC111136578,LOC111136789,LOC111136890,LOC111137300,LOC111137332,LOC111137692,LOC111138173,LOC111138463"
GO:BP,organonitrogen compound biosynthetic process,GO:1901566,FALSE,1.16E-35,34.93515945,630,356,100,9567,"LOC111099650,LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111103110,LOC111105223,LOC111105616,LOC111106109,LOC111106322,LOC111106468,LOC111111438,LOC111112573,LOC111114067,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118222,LOC111118248,LOC111118348,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124874,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111126040,LOC111126078,LOC111126128,LOC111126281,LOC111126492,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128580,LOC111128745,LOC111129228,LOC111129410,LOC111129902,LOC111130094,LOC111130771,LOC111131049,LOC111131216,LOC111131577,LOC111131662,LOC111132903,LOC111134405,LOC111135077,LOC111135849,LOC111136230,LOC111136247,LOC111136425,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111104244,LOC111107427,LOC111108232,LOC111117675,LOC111119190,LOC111119627,LOC111121303,LOC111121432,LOC111124944,LOC111125877,LOC111126109,LOC111128646,LOC111130763,LOC111131076,LOC111133074,LOC111133190,LOC111134635,LOC111135100,LOC111136578,LOC111136789,LOC111136890,LOC111137692,LOC111138187"
GO:BP,organic substance biosynthetic process,GO:1901576,FALSE,1.03E-32,31.9870593,2130,356,184,9567,"LOC111099650,LOC111099660,LOC111099922,LOC111100610,LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111102916,LOC111103110,LOC111103789,LOC111105223,LOC111105616,LOC111106109,LOC111106322,LOC111106468,LOC111110592,LOC111111438,LOC111112573,LOC111114067,LOC111114632,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118222,LOC111118248,LOC111118274,LOC111118348,LOC111118413,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121226,LOC111121660,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124697,LOC111124874,LOC111125137,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111125826,LOC111125966,LOC111126040,LOC111126078,LOC111126128,LOC111126179,LOC111126281,LOC111126492,LOC111126498,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128051,LOC111128102,LOC111128580,LOC111128745,LOC111129014,LOC111129228,LOC111129410,LOC111129902,LOC111130067,LOC111130094,LOC111130771,LOC111131049,LOC111131082,LOC111131216,LOC111131577,LOC111131662,LOC111132047,LOC111132207,LOC111132305,LOC111132903,LOC111133056,LOC111133772,LOC111134319,LOC111134405,LOC111135077,LOC111135210,LOC111135849,LOC111136230,LOC111136247,LOC111136406,LOC111136425,LOC111136468,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111100903,LOC111101857,LOC111102640,LOC111102825,LOC111104244,LOC111104584,LOC111105915,LOC111107427,LOC111108232,LOC111108785,LOC111110150,LOC111110798,LOC111117675,LOC111117872,LOC111118324,LOC111119151,LOC111119190,LOC111119625,LOC111119627,LOC111120649,LOC111120664,LOC111120820,LOC111120984,LOC111121087,LOC111121289,LOC111121303,LOC111121432,LOC111121760,LOC111122018,LOC111123159,LOC111123590,LOC111123693,LOC111123724,LOC111124912,LOC111124944,LOC111125877,LOC111125980,LOC111125990,LOC111126088,LOC111126109,LOC111126771,LOC111128646,LOC111128900,LOC111128939,LOC111129496,LOC111130282,LOC111130641,LOC111130763,LOC111131076,LOC111131116,LOC111131197,LOC111131718,LOC111132883,LOC111133074,LOC111133190,LOC111133404,LOC111134475,LOC111134635,LOC111134884,LOC111135038,LOC111135100,LOC111135352,LOC111135492,LOC111136205,LOC111136320,LOC111136413,LOC111136465,LOC111136578,LOC111136789,LOC111136890,LOC111137300,LOC111137332,LOC111137692,LOC111138173,LOC111138187,LOC111138463"
GO:BP,cellular biosynthetic process,GO:0044249,FALSE,1.74E-32,31.76045547,2076,356,181,9567,"LOC111099650,LOC111099660,LOC111099922,LOC111100610,LOC111100708,LOC111101507,LOC111101860,LOC111102380,LOC111102916,LOC111103110,LOC111103789,LOC111105223,LOC111105616,LOC111106109,LOC111106322,LOC111106468,LOC111110592,LOC111111438,LOC111112573,LOC111114067,LOC111114632,LOC111114718,LOC111115132,LOC111115985,LOC111118104,LOC111118126,LOC111118222,LOC111118248,LOC111118274,LOC111118348,LOC111118413,LOC111118510,LOC111118540,LOC111119040,LOC111119059,LOC111119071,LOC111119359,LOC111119576,LOC111119745,LOC111120067,LOC111120557,LOC111120619,LOC111121226,LOC111121660,LOC111121848,LOC111122453,LOC111122600,LOC111122819,LOC111124252,LOC111124697,LOC111124874,LOC111125137,LOC111125240,LOC111125548,LOC111125652,LOC111125711,LOC111125826,LOC111125966,LOC111126040,LOC111126078,LOC111126128,LOC111126179,LOC111126281,LOC111126492,LOC111126498,LOC111126614,LOC111126648,LOC111127354,LOC111127437,LOC111127638,LOC111127769,LOC111128102,LOC111128580,LOC111128745,LOC111129014,LOC111129228,LOC111129410,LOC111129902,LOC111130067,LOC111130094,LOC111130771,LOC111131049,LOC111131082,LOC111131216,LOC111131577,LOC111131662,LOC111132047,LOC111132207,LOC111132305,LOC111132903,LOC111133056,LOC111133772,LOC111134319,LOC111134405,LOC111135077,LOC111135210,LOC111135849,LOC111136230,LOC111136247,LOC111136406,LOC111136425,LOC111136468,LOC111136624,LOC111136666,LOC111137089,LOC111137903,LOC111099983,LOC111100903,LOC111101857,LOC111102640,LOC111102825,LOC111104244,LOC111104584,LOC111105915,LOC111107427,LOC111108232,LOC111108785,LOC111110150,LOC111110798,LOC111117675,LOC111117872,LOC111119151,LOC111119190,LOC111119625,LOC111119627,LOC111120649,LOC111120664,LOC111120820,LOC111120984,LOC111121087,LOC111121289,LOC111121303,LOC111121432,LOC111121760,LOC111122018,LOC111123159,LOC111123590,LOC111123693,LOC111123724,LOC111124912,LOC111124944,LOC111125877,LOC111125980,LOC111125990,LOC111126088,LOC111126109,LOC111126771,LOC111128646,LOC111128900,LOC111128939,LOC111129496,LOC111130282,LOC111130641,LOC111130763,LOC111131076,LOC111131116,LOC111131718,LOC111132883,LOC111133074,LOC111133190,LOC111133404,LOC111134475,LOC111134635,LOC111134884,LOC111135038,LOC111135100,LOC111135352,LOC111135492,LOC111136205,LOC111136320,LOC111136413,LOC111136465,LOC111136578,LOC111136789,LOC111136890,LOC111137300,LOC111137332,LOC111137692,LOC111138173,LOC111138187,LOC111138463"
