,Date,Scallop_ID,Day,pCO2_history,pCO2_exposure,SYBR_PI_count_alive,SYBR_PI_count_dead,MitoSoxGreen_Mean_FL1,JC10_FL1_monomer,JC10_FL2_Jaggregate
50,20230516,10,14,low,low,3432,474,5820.78,696731.96,597081.5
51,20230516,14,14,low,moderate,6786,4363,3304.6,463433.8,482066.12
52,20230516,16,14,low,moderate,12319,4077,2884.8,480734.9,442633.83
53,20230516,17,14,low,moderate,7325,1361,2959.78,573681.21,509508.84
54,20230516,19,14,low,moderate,8604,8332,3175.33,342765.57,419945.01
55,20230516,20,14,low,moderate,8128,1891,4060.08,323587.3,392025.67
56,20230516,22,14,low,severe,5856,650,4811.77,668789.49,532104.29
57,20230516,23,14,low,severe,16534,6048,3996.38,575426.66,477868.6
58,20230516,27,14,low,severe,4154,423,3911.59,452026.43,480072
59,20230516,29,14,low,severe,5676,3704,4780.89,500099.11,493240.26
60,20230516,30,14,low,severe,5935,3361,4496.92,570211.94,459814.48
61,20230516,34,14,moderate,low,1963,399,4603.11,778844.87,589796.85
62,20230516,36,14,moderate,low,9698,1088,4188.5,786584.86,530488.63
63,20230516,37,14,moderate,low,3779,593,4682.86,668224.35,557113.45
64,20230516,39,14,moderate,low,4184,1080,4052.89,702041.65,550647.64
65,20230516,40,14,moderate,low,2667,393,6167.05,777754.52,588939.31
66,20230516,42,14,moderate,moderate,2412,217,4267.55,694978.47,591960.28
67,20230516,43,14,moderate,moderate,3725,455,3756.11,650892.59,543757.82
68,20230516,47,14,moderate,moderate,4649,997,3294.63,534748.17,509766.09
69,20230516,49,14,moderate,moderate,5921,1709,3616.93,675449.03,517846.82
70,20230516,50,14,moderate,moderate,4140,375,3814.05,811146.4,587395.68
71,20230516,52,14,moderate,severe,6572,1079,5408.67,714377.82,587827.15
72,20230516,53,14,moderate,severe,1069,304,6401.86,792818.95,650380.08
73,20230516,55,14,moderate,severe,3274,1401,4958.32,688305.31,514830.66
74,20230516,56,14,moderate,severe,NA,NA,NA,NA,NA
75,20230516,60,14,moderate,severe,511,11,4789.05,628663.7,489279.92
76,20230516,62,14,severe,low,14988,2206,5735.1,673164.72,474461.16
77,20230516,63,14,severe,low,8887,2589,5838.22,632590.05,561723.65
78,20230516,67,14,severe,low,4786,598,5202.43,723998.03,557563.01
79,20230516,69,14,severe,low,9411,1540,5169.19,595827.15,476931.82
80,20230516,70,14,severe,low,15762,1709,4754.09,732319.6,541047.47
81,20230516,72,14,severe,moderate,7312,3954,5456.19,593179.85,470035.6
82,20230516,73,14,severe,moderate,9722,1217,4554.72,719458.79,477551.85
83,20230516,75,14,severe,moderate,6552,1395,4274.47,800224.86,531760.8
84,20230516,76,14,severe,moderate,9457,2071,5966.13,704920.84,533987.6
85,20230516,80,14,severe,moderate,1172,379,5896.23,598538.46,680162.71
86,20230516,84,14,severe,severe,11770,2007,4854.99,701778.65,512188.55
87,20230516,86,14,severe,severe,4030,458,5697.12,657782.9,551471.88
88,20230516,87,14,severe,severe,NA,NA,NA,NA,NA
89,20230516,89,14,severe,severe,4130,665,5908.06,444859.73,467284.51
90,20230516,90,14,severe,severe,9619,1270,5196.1,661759.25,471516.34
