Run_date,Plate,well,Type,Scallop_ID
20230829,2,G5,Sample,11
20230829,2,G6,Sample,11
20230829,2,G7,Sample,45
20230829,2,G8,Sample,45
20230829,2,G9,NA,NA
20230829,2,G10,NA,NA
20230829,2,G11,NA,NA
20230829,2,G12,NA,NA
20230829,2,H1,Standard_25,NA
20230829,2,H2,Standard_25,NA
20230829,2,H3,Sample,60
20230829,2,H4,Sample,60
20230829,2,H5,Sample,72
20230829,2,H6,Sample,72
20230829,2,H7,Sample,47
20230829,2,H8,Sample,47
20230829,2,H9,NA,NA
20230829,2,H10,NA,NA
20230829,2,H11,NA,NA
20230829,2,H12,NA,NA
