source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,regulation of nitrogen compound metabolic process,GO:0051171,FALSE,0.006186458,2.208557904,707,270,40,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111110025,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of cellular biosynthetic process,GO:0031326,FALSE,0.01654528,1.781325891,712,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of macromolecule biosynthetic process,GO:0010556,FALSE,0.01654528,1.781325891,712,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of gene expression,GO:0010468,FALSE,0.01654528,1.781325891,712,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of biosynthetic process,GO:0009889,FALSE,0.01654528,1.781325891,712,270,39,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,organic cyclic compound biosynthetic process,GO:1901362,FALSE,0.023584268,1.627377607,1020,270,50,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111128051,LOC111125202,LOC111119637,LOC111100610,LOC111112940,LOC111127492,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111111394,LOC111124564,LOC111118336,LOC111110225,LOC111136216,LOC111137803,LOC111130760,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,transcription by RNA polymerase II,GO:0006366,FALSE,0.028662754,1.542682088,187,270,16,9567,"LOC111121660,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111119637,LOC111100610,LOC111106318,LOC111130067,LOC111110225,LOC111134887,LOC111130231,LOC111110592,LOC111129852,LOC111138001,LOC111129329"
GO:BP,macromolecule biosynthetic process,GO:0009059,FALSE,0.031361977,1.503596573,1700,270,73,9567,"LOC111125796,LOC111125548,LOC111114718,LOC111132297,LOC111119059,LOC111105616,LOC111105280,LOC111122660,LOC111125242,LOC111135474,LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111113194,LOC111121832,LOC111113188,LOC111111195,LOC111127225,LOC111108274,LOC111126911,LOC111122589,LOC111125711,LOC111121072,LOC111120726,LOC111117450,LOC111103157,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111123200,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111121768,LOC111119597,LOC111134863,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111138173,LOC111118336,LOC111110225,LOC111118539,LOC111136216,LOC111137803,LOC111130760,LOC111118362,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111132305,LOC111128504,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of transcription by RNA polymerase II,GO:0006357,FALSE,0.03181028,1.497432514,150,270,14,9567,"LOC111121660,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111119637,LOC111100610,LOC111106318,LOC111130067,LOC111110225,LOC111134887,LOC111129852,LOC111138001,LOC111129329"
GO:BP,biosynthetic process,GO:0009058,FALSE,0.033210235,1.478728057,2164,270,88,9567,"LOC111125796,LOC111125548,LOC111121226,LOC111114718,LOC111132297,LOC111119059,LOC111105616,LOC111129320,LOC111105280,LOC111122660,LOC111125242,LOC111105847,LOC111107540,LOC111131197,LOC111135474,LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111113194,LOC111121832,LOC111113188,LOC111111195,LOC111127225,LOC111108274,LOC111126911,LOC111122589,LOC111125711,LOC111126492,LOC111121072,LOC111120726,LOC111117450,LOC111103157,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111125100,LOC111113357,LOC111128051,LOC111123200,LOC111125202,LOC111104136,LOC111119637,LOC111100610,LOC111112940,LOC111127492,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111121768,LOC111119597,LOC111134863,LOC111134536,LOC111106318,LOC111130067,LOC111111394,LOC111124564,LOC111138173,LOC111118336,LOC111121023,LOC111110225,LOC111118539,LOC111136216,LOC111137803,LOC111130760,LOC111118362,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111135147,LOC111132305,LOC111128504,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of macromolecule metabolic process,GO:0060255,FALSE,0.036664564,1.435753474,765,270,40,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111110025,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,heterocycle biosynthetic process,GO:0018130,FALSE,0.036723006,1.435061777,1010,270,49,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111125202,LOC111119637,LOC111100610,LOC111112940,LOC111127492,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111111394,LOC111124564,LOC111118336,LOC111110225,LOC111136216,LOC111137803,LOC111130760,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,nucleobase-containing compound biosynthetic process,GO:0034654,FALSE,0.046475808,1.332773052,964,270,47,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111132777,LOC111129014,LOC111125826,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111127492,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111124564,LOC111118336,LOC111110225,LOC111136216,LOC111137803,LOC111130760,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111130231,LOC111110592,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
GO:BP,regulation of metabolic process,GO:0019222,FALSE,0.047216869,1.325902812,774,270,40,9567,"LOC111128383,LOC111121660,LOC111119625,LOC111111195,LOC111108274,LOC111126911,LOC111122589,LOC111138458,LOC111137553,LOC111132203,LOC111129405,LOC111119346,LOC111119637,LOC111100610,LOC111112940,LOC111137181,LOC111135975,LOC111135564,LOC111113134,LOC111118493,LOC111119597,LOC111134536,LOC111106318,LOC111130067,LOC111110025,LOC111124564,LOC111110225,LOC111136216,LOC111137803,LOC111107792,LOC111134887,LOC111119599,LOC111136576,LOC111129852,LOC111129084,LOC111138001,LOC111129329,LOC111119651,LOC111136321,LOC111130695"
