"","Day","pCO2_history","pCO2_exposure","Scallop_ID","mean_ATP_nmol","mean_TotalProtein_ug","mean_TotalProtein_ng","ATP_nmol_ng_protein"
"30",1,"moderate","severe",59,1.45523138832998,89.7823993293976,0.0897823993293976,8.10421307070979
"31",1,"severe","low",61,2.61688311688312,52.7399108205385,0.0527399108205385,24.8093244392066
"32",1,"severe","low",64,2.08701298701299,47.163956315747,0.047163956315747,22.1250839628585
"33",1,"severe","low",65,1.34708249496982,43.4055826751633,0.0434055826751633,15.5173875334315
"34",1,"severe","low",66,1.52337662337662,25.7277991094394,0.0257277991094394,29.605653730748
"35",1,"severe","low",68,2.15064935064935,86.4521336450619,0.0864521336450619,12.4383821426494
"36",1,"severe","moderate",71,1.91038961038961,15.2043006181233,0.0152043006181233,62.8239883692004
"37",1,"severe","moderate",74,1.49698189134809,52.3325091030395,0.0523325091030395,14.3026000186674
"38",1,"severe","moderate",77,1.24346076458753,88.0163054273757,0.0880163054273757,7.06380913485137
"39",1,"severe","moderate",78,1.76233766233766,75.2656961093217,0.0752656961093217,11.7074427889294
"40",1,"severe","moderate",79,2.04805194805195,46.5429578605396,0.0465429578605396,22.0017382026803
"41",1,"severe","severe",81,2.41038961038961,59.3241029953029,0.0593241029953029,20.3154324185943
"42",1,"severe","severe",82,1.16498993963783,29.232656688983,0.029232656688983,19.926172842116
"43",1,"severe","severe",83,1.28672032193159,48.781091908003,0.048781091908003,13.1887199691864
"44",1,"severe","severe",85,1.64084507042254,64.7666987191646,0.0647666987191646,12.6673514543131
"45",1,"severe","severe",88,2.05064935064935,54.2199686750095,0.0542199686750095,18.9104623329902
"46",14,"low","low",2,1.76363636363636,25.4488904632488,0.0254488904632488,34.650555123086
"47",14,"low","low",5,1.74025974025974,61.9140663486757,0.0619140663486757,14.0538317291202
"48",14,"low","moderate",19,2.6987012987013,56.91905255423,0.05691905255423,23.7064847146752
"49",14,"low","severe",22,1.78441558441558,20.9755486611224,0.0209755486611224,42.5356116601361
"50",14,"low","severe",29,2.11168831168831,72.1375766765104,0.0721375766765104,14.6365348614207
"51",14,"moderate","low",39,2.65974025974026,68.7515302176327,0.0687515302176327,19.3431349914748
"52",14,"moderate","low",40,2.5,70.4601405222632,0.0704601405222632,17.7405266400943
"53",14,"moderate","moderate",47,2.31038961038961,45.1948661848746,0.0451948661848746,25.5603103341285
"54",14,"moderate","severe",55,3.28961038961039,102.941569644098,0.102941569644098,15.978046580131
"55",14,"moderate","severe",60,2.08831168831169,69.2301048992754,0.0692301048992754,15.0823958114033
"56",14,"severe","low",62,1.12273641851107,23.4081461525736,0.0234081461525736,23.9817457391352
"57",14,"severe","low",62,1.12273641851107,41.0883850238743,0.0410883850238743,13.6624549475321
"58",14,"severe","low",67,2.14025974025974,40.38476,0.04038476,26.4983590376635
"59",14,"severe","low",70,1.2248490945674,56.0614346030192,0.0560614346030192,10.9241683096479
"60",14,"severe","moderate",72,1.96363636363636,41.1864570555174,0.0411864570555174,23.8383743591913
"61",14,"severe","moderate",73,1.60779220779221,53.1350361116681,0.0531350361116681,15.1293038026105
"62",14,"severe","severe",84,2.15324675324675,39.7135164948116,0.0397135164948116,27.1097467977693
"63",14,"severe","severe",86,2.02857142857143,44.836620758191,0.044836620758191,22.621814426111
"64",14,"severe","severe",87,3.3038961038961,55.2865284181315,0.0552865284181315,29.87975731546
"65",14,"severe","severe",90,1.76233766233766,34.1205501914943,0.0341205501914943,25.8251647826151
