"","X","Day","pCO2_history","pCO2_exposure","Unique_ID","Run_date","Scallop_ID","mean_ATP_nmol","sd_ATP_nmol","n","se_ATP_nmol"
"51",51,14,"moderate","low","20230828_Sample39",20230828,39,2.65974025974026,0.0073465639603794,2,0.00519480519480497
"52",52,14,"moderate","low","20230828_Sample40",20230828,40,2.5,0.0789755625740819,2,0.0558441558441558
"53",53,14,"moderate","moderate","20230828_Sample47",20230828,47,2.31038961038961,0.11938166435617,2,0.0844155844155845
"54",54,14,"moderate","severe","20230828_Sample55",20230828,55,3.28961038961039,0.446303760593068,2,0.315584415584416
"55",55,14,"moderate","severe","20230828_Sample60",20230828,60,2.08831168831169,0.312228968316138,2,0.220779220779221
"56",56,14,"severe","low","20230828_Sample67",20230828,67,2.14025974025974,0.308555686335948,2,0.218181818181818
"57",57,14,"severe","low","20230829_Sample62",20230829,62,1.12273641851107,0.0298777513177416,2,0.0211267605633804
"58",58,14,"severe","low","20230829_Sample70",20230829,70,1.2248490945674,0.00497962521962341,2,0.00352112676056326
"59",59,14,"severe","moderate","20230828_Sample72",20230828,72,1.96363636363636,0.194683944950062,2,0.137662337662338
"60",60,14,"severe","moderate","20230828_Sample73",20230828,73,1.60779220779221,0.0110198459405694,2,0.00779220779220768
"61",61,14,"severe","severe","20230828_Sample84",20230828,84,2.15324675324675,0.040406101782088,2,0.0285714285714282
"62",62,14,"severe","severe","20230828_Sample86",20230828,86,2.02857142857143,0.0293862558415186,2,0.0207792207792206
"63",63,14,"severe","severe","20230828_Sample87",20230828,87,3.3038961038961,0.0110198459405694,2,0.00779220779220768
"64",64,14,"severe","severe","20230828_Sample90",20230828,90,1.76233766233766,0.336105301187372,2,0.237662337662338
