"","MEblack","MEblue","MEbrown","MEgreen","MEgreenyellow","MEmagenta","MEpink","MEpurple","MEred","MEtan","MEturquoise","MEyellow"
"S8",0.254995500375801,-0.100709790743476,0.278835157758885,0.111883781007028,-0.106736588396229,-0.125316098620046,-0.316750000199235,-0.0964642812693799,-0.0636630385051176,-0.00957713289587727,0.143263881749682,-0.187049946791504
"S9",-0.0101413006632178,-0.18038523887936,0.316830422465211,0.0568213464480025,-0.256516426356201,-0.199750390342123,-0.244503223707888,-0.198377083211532,0.125026462266984,0.00973481362506922,0.0986499023607129,-0.0191537764103812
"S25",-0.0556454827834426,-0.361802327395186,0.158745319246103,0.0338156948082897,-0.047025702493092,0.210200997678489,-0.009856748836578,0.118008698305601,-0.00115757592902382,0.318421003534398,0.201001972241716,0.0960364067014905
"S15",0.100256856190306,-0.322414674478514,0.217794066685379,0.0537070649895131,-0.313682571260273,0.105871549064055,0.0941358466881356,-0.172125326960817,-0.348995576962046,0.201601503067748,0.259719835341673,0.248999376507146
"S26",-0.165622946193437,0.172544971986436,-0.154238761286022,0.0184287086501351,0.190932282824635,-0.0230299596748507,0.172946553178905,0.134082829559668,-0.102133524079744,0.0494767888290082,-0.171150293970715,0.0581974268375095
"S16",0.109125381706012,0.101234687373254,-0.230142120522184,0.0808922858670121,0.115663123646734,0.106593657034754,0.118577511584564,0.0817741980318775,-0.218734584579262,-0.153986539700007,0.0844730086990733,0.15257416361457
"S27",-0.0369983038564726,0.285603590408963,-0.120545267193501,-0.00998488393144585,0.164246846418824,-0.161680009842031,0.0892970829748161,0.00884552038766333,0.15696406694112,-0.117753657837198,-0.212145375636944,-0.0242792987818893
"S17",0.557640739300438,0.149614105616351,-0.12596208989215,0.0669789764816964,0.251511960663205,-0.466374556157797,-0.070262439964102,0.0363154591544684,0.116032064412546,-0.115247151064675,-0.352384987099618,-0.287363873213728
"S28",-0.208735047948245,-0.162065610574232,0.240837185996179,-0.00381925503200739,-0.371441422686264,0.0792534925911701,0.0223930799440585,-0.145386801373909,0.041127021782684,-0.00446633262705367,0.215118356817778,0.213119485122012
"S29",0.00110391562129346,-0.00585472390270969,0.200175098645857,-0.0484801964564833,-0.107805611932418,-0.0760689638830639,-0.0512205841756453,-0.140553197940918,0.174331484302533,-0.0274465130229606,0.00155635187202146,-0.000186672346266278
"S30",-0.228190369272835,0.157281830319917,-0.0868185495698962,0.117162198392005,-0.155262667515448,0.124920627611826,0.276371675148709,-0.041294464459485,-0.192556615697684,-0.266930399202654,0.129625719575668,0.266673638074638
"S31",-0.243259353171166,-0.309091731742124,0.0794838422377303,0.0953040137335924,0.140134285212353,0.176917976334379,-0.060119668679577,0.231185140961022,0.117004818422774,0.398915812318422,0.12008813097386,0.0633113877395302
"S33",-0.28323115503766,0.00651536186433894,-0.0275817144321546,0.221949495257427,-0.118639638719501,0.211867759006359,0.376276987850129,0.0546157461748142,-0.500462647772582,-0.0417778702844327,0.338788365067772,0.437783570391974
"S34",-0.0766513138236546,0.160870168974079,-0.27656320184662,0.0369419918300229,0.0562933583681371,0.213115921809146,0.263191648007813,0.0806367108171076,-0.112248105100646,-0.091384090201738,0.0473097913808205,0.200301009020357
"S35",-0.0627564238578858,-0.0582926474452534,0.0652780847768696,0.114498310923815,0.0362652213287269,0.111234153858263,0.102050087358771,0.120377160099188,0.0272172518603981,0.117612184167135,0.0265603436611405,0.0594119570154173
"S18",-0.243699935376823,0.236824479743381,-0.24440624224023,-0.112289906419019,0.282009353845913,-0.0574589834726156,-0.00648833031174751,0.0878986366462356,0.216148765393803,-0.0756570309144233,-0.383935491965316,-0.289976309666576
