"","S1","S19","S20","S21","S2","S11","S12","S13","S14","S24","S33","S36","S34","S35","S18"
"rna-XM_069286093.1",0,208,98,0,0,0,174,484,0,77,591,368,0,124,0
"rna-XM_069263973.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069250126.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069271338.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069245198.1",0,0,0,0,0,0,0,0,0,0,296,317,0,0,0
"rna-XM_069277498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011207884.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069259441.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069279505.1",0,0,0,0,0,0,87,0,0,0,97,0,0,0,0
"rna-XM_069268794.1",1163,1173,863,808,901,718,1000,995,686,785,1666,222,753,904,795
"rna-XM_069285964.1",0,0,0,0,0,0,0,0,0,0,0,180,0,0,0
"rna-XR_011209263.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069277739.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069258159.1",600,274,728,1111,688,482,766,800,0,1060,1394,571,285,696,279
"rna-XM_069253340.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069272249.1",0,0,0,0,0,0,121,0,0,0,164,0,0,0,0
"rna-XM_069251897.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278690.1",0,0,0,0,0,0,0,0,0,69,0,0,0,0,0
"rna-XM_069258145.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069260398.1",0,0,0,0,0,0,0,0,0,0,837,0,0,0,0
"rna-XR_011209994.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069271650.1",0,0,216,0,0,266,0,0,204,276,1981,239,0,0,0
"rna-XR_011207025.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069254711.1",513,432,376,315,377,408,515,481,518,538,895,261,389,428,551
"rna-XM_069278733.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069265896.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069270002.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011209873.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069254618.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262423.1",94,261,401,222,412,0,176,240,0,354,603,249,222,405,185
"rna-XR_011208208.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069250907.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069253577.1",41,0,0,0,0,0,0,12,0,0,59,0,0,0,0
"gene-LOC138322660",0,0,0,0,0,0,0,0,0,0,0,745,0,0,0
"rna-XM_069270587.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262951.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069274078.1",0,0,0,0,0,0,0,0,0,0,82,0,0,33,0
"rna-XM_069276071.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069286233.1",318,258,310,219,479,472,1039,254,642,577,411,200,299,367,261
"rna-XM_069263410.1",248,334,184,319,827,339,894,0,436,566,375,307,204,736,925
"rna-XR_011206792.1",136,152,224,103,111,95,72,97,38,44,64,62,103,119,51
"rna-XM_069281318.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069251341.1",249,250,210,116,209,141,89,275,0,238,325,161,152,71,196
"rna-XM_069245927.1",0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
"rna-XR_011209398.1",0,177,95,121,337,0,0,0,0,0,655,77,0,0,0
"rna-XM_069272599.1",712,307,743,0,0,684,1046,721,662,906,1575,0,762,734,0
"rna-XM_069260940.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278078.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138320134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011205714.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011206978.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138320133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069259295.1",0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
"gene-LOC138320139",0,21,0,177,0,110,0,0,85,0,197,0,0,134,0
"rna-XM_069271571.1",0,0,720,226,0,0,1160,905,0,908,1380,0,305,624,535
"rna-XM_069245152.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138328790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069267767.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247696.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069251042.1",1623,2000,2229,1654,2095,1354,1333,2686,2338,2097,3817,1532,1759,1559,2835
"rna-XM_069251498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069283679.1",0,0,0,0,0,0,0,0,0,0,231,0,0,0,0
"rna-XM_069267160.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-Trnay-gua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069271856.1",0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069258510.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069249330.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069274900.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069269504.1",726,545,647,919,699,245,918,393,388,1069,594,1363,787,745,220
"rna-XM_069265044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069253663.1",0,0,0,33,14,0,0,0,0,0,0,8,62,0,0
"rna-XM_069250359.1",0,0,0,0,0,0,0,0,0,0,726,0,0,0,0
"rna-XM_069268764.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069259177.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069264307.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011209746.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069276369.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069271771.1",874,1191,1732,904,842,1189,819,1037,948,789,1518,868,939,1293,1065
"rna-XM_069259932.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069274910.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138323531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069283827.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069261563.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069252798.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069245514.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069280726.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069254110.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069281623.1",624,199,0,721,0,673,0,0,1650,0,1797,1061,811,0,4961
"rna-XM_069249853.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069249034.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069276332.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069250757.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069270457.1",0,0,285,0,120,0,0,54,0,0,0,136,48,0,0
"rna-XM_069271765.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069251904.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069264949.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069280627.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247624.1",99,97,0,60,0,19,0,194,0,0,125,0,0,20,0
"rna-XM_069250476.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069282517.1",0,0,84,0,0,0,84,0,0,0,215,0,0,79,0
"rna-XM_069254358.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069251885.1",0,0,0,0,0,0,0,0,0,19,0,14,0,0,0
"rna-XM_069256983.1",3209,3439,3207,1758,1697,3025,2584,2723,2949,2659,4058,3924,2798,3218,3494
"rna-XM_069259014.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011209857.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069276560.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285759.1",167,597,3640,450,561,523,456,796,1011,245,799,182,1180,553,831
"rna-XR_011208533.1",26,58,46,0,31,84,12,0,26,72,75,0,0,14,0
"rna-XM_069257542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069253673.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069273627.1",0,0,0,0,202,0,0,0,0,0,0,176,0,0,0
"rna-XM_069261014.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011206034.1",77,139,175,102,76,0,0,38,81,34,171,152,0,0,159
"rna-XM_069275460.1",780,795,1217,740,778,332,512,420,672,946,632,560,933,1024,926
"rna-XM_069256087.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069254362.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069271977.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069277231.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069253194.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069281335.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069282507.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011205621.1",0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069248845.1",829,621,284,573,494,340,640,872,397,341,1069,151,493,370,820
"rna-XM_069250801.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278829.1",0,366,525,886,0,506,315,399,113,313,706,0,0,0,0
"rna-XM_069254882.1",0,2084,232,0,0,424,0,0,811,552,1408,422,578,443,0
"rna-XM_069263273.1",334,457,371,333,0,359,350,284,582,556,459,0,393,403,208
"rna-XM_069252613.1",0,0,0,0,0,0,85,36,0,0,31,0,0,0,0
"rna-XM_069272631.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069284324.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011206006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069270687.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285377.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285765.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069269821.1",3581,3453,4400,2161,2538,2690,2829,3784,3313,2759,4911,2677,3822,3430,3464
"rna-XM_069283244.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069276348.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069249808.1",0,19,0,0,46,0,79,0,0,0,323,0,0,0,0
"rna-XM_069253275.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069270447.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011208111.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069266589.1",0,134,63,68,0,0,192,0,136,164,396,443,0,0,0
"rna-XR_011207480.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069251417.1",502,265,381,0,0,0,354,695,455,0,0,0,0,0,0
"rna-XM_069272625.1",0,65,329,337,0,138,0,0,310,151,357,0,65,186,0
"rna-XM_069264454.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247007.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069286221.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069280624.1",38,62,0,0,0,53,51,0,0,32,79,81,0,41,0
"rna-XM_069276586.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069246564.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262824.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069277164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069274978.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069268391.1",0,71,0,0,0,0,0,0,0,0,352,0,0,0,0
"rna-XM_069250018.1",0,0,0,786,594,635,695,0,0,1185,970,626,0,0,0
"rna-XM_069286526.1",634,524,757,542,413,647,559,770,713,601,580,519,749,745,447
"rna-XM_069277193.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247384.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069266249.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069284748.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069272037.1",0,0,0,0,0,0,0,111,0,0,0,0,0,179,0
"rna-XM_069268370.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069266537.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069283107.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069246762.1",910,656,551,1001,686,836,833,588,659,1067,1035,1163,489,878,502
"rna-XM_069280926.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069264961.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138313308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011205816.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069286405.1",7183,7221,7183,8861,6898,5924,4768,4721,5214,5956,6416,13148,4361,7219,7338
"gene-LOC138313683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069281210.1",184,185,183,159,0,129,0,298,58,197,286,183,59,320,734
"rna-XM_069264975.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138328860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011205860.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069264466.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138309629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069271432.1",0,0,0,0,0,192,113,0,0,0,158,0,0,0,0
"rna-XM_069258184.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278662.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069286235.1",0,0,0,0,0,0,0,0,0,0,0,0,127,0,0
"rna-XM_069270137.1",185,270,270,46,91,37,46,239,212,50,221,0,63,250,172
"rna-XR_011206542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069275681.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069266951.1",0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
"rna-XM_069255851.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069282309.1",371,283,272,163,301,177,236,443,211,217,409,328,252,272,308
"rna-XM_069270459.1",28,0,177,0,0,0,56,66,65,149,116,0,155,0,0
"rna-XR_011206443.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069273514.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069280613.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285708.1",0,0,0,0,0,0,0,0,0,0,0,261,0,0,0
"rna-XM_069279726.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069275048.1",775,749,1166,758,795,761,792,985,697,939,1249,483,894,1224,908
"rna-XM_069247270.1",0,87,0,0,98,0,0,0,0,0,180,0,0,0,0
"rna-XM_069253164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069254296.1",2753,2647,4397,2891,2619,2299,3517,3299,3044,2585,3952,3041,2893,4225,3546
"gene-LOC138311912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069258900.1",115,99,90,98,84,126,154,234,157,207,260,171,184,172,117
"rna-XM_069269594.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069275076.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069269809.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011205688.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069257998.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069260024.1",296,165,121,0,0,0,412,0,228,219,110,0,0,140,0
"rna-XM_069276014.1",948,881,1307,1298,1364,1466,1336,1153,1017,1425,1847,754,1143,1333,813
"rna-XM_069255932.1",0,0,0,0,0,0,0,0,0,0,206,0,0,0,0
"rna-XM_069246844.1",364,522,742,695,687,546,773,172,508,501,567,664,0,68,0
"rna-XM_069285753.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069283952.1",0,73,0,0,30,0,146,0,0,90,82,29,93,45,0
"rna-XM_069279710.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069277747.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069252282.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069246231.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069284663.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011206315.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278110.1",32,0,26,0,0,14,0,0,0,12,58,0,0,0,0
"gene-LOC138312229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138312228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069282653.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069277646.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011209104.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138312226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138312222",0,0,130,0,0,0,0,0,193,173,291,0,0,0,0
"rna-XM_069276441.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262269.1",0,707,809,1279,1348,677,2120,1761,1359,2346,0,1576,1152,1200,1052
"rna-XR_011207314.1",49,48,261,366,337,211,239,0,182,277,141,0,267,0,0
"rna-XM_069282643.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene-LOC138326398",47,144,96,164,0,0,0,102,81,25,308,0,162,156,112
"rna-XR_011209132.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069254971.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011210499.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069252101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069246392.1",289,339,494,308,382,230,273,433,301,316,616,278,305,384,558
"rna-XM_069277133.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069278900.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069280404.1",0,0,0,0,0,0,0,0,0,0,216,152,0,0,0
"rna-XM_069263060.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262020.1",0,0,0,221,0,0,0,0,0,112,718,0,0,0,0
"rna-XM_069281909.1",0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
"rna-XM_069248170.1",682,623,857,784,956,472,773,527,939,1130,1155,341,523,0,246
"rna-XM_069273591.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069275094.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011208333.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069269439.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285830.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011209679.1",187,145,220,103,0,105,96,117,218,178,112,324,126,0,0
"rna-XM_069250963.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011208690.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262727.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069256865.1",257,196,256,88,191,0,121,44,92,242,280,381,0,94,179
"rna-XM_069284078.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247958.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247719.1",42,63,34,0,0,0,0,38,37,29,31,0,0,0,0
"rna-XM_069276865.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069248458.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069263763.1",0,0,1045,361,111,0,0,0,0,114,0,0,0,0,0
"rna-XM_069269357.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285509.1",512,509,596,729,584,587,636,495,409,713,1023,549,492,762,545
"rna-XM_069284673.1",2784,2325,3632,4472,2798,2382,2731,1869,1909,3808,4010,2113,2064,3593,2093
"rna-XM_069262676.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XR_011208459.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069260931.1",0,0,150,129,0,0,116,0,111,111,412,447,171,0,131
"rna-XR_011208323.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069280508.1",0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
"rna-XM_069275884.1",2645,2345,2805,2604,2203,2386,2402,2758,2739,2501,3629,3079,2318,2747,2790
"rna-XM_069252772.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069249473.1",2070,2636,2340,1238,1595,1861,2283,2764,2255,2241,3275,1635,2254,2131,2200
"rna-Trnaa-ugc-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-Trnaa-ugc-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069249683.1",379,457,480,0,336,407,461,442,136,363,739,0,390,337,251
"rna-XM_069279878.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-Trnaa-ugc-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-Trnaa-ugc-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069261164.1",0,0,0,0,0,0,0,0,0,0,121,0,0,0,0
"rna-Trnaa-ugc-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-Trnaa-ugc-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-Trnaa-ugc-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069262604.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069257164.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069276489.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069285515.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069273110.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069247557.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069263306.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069269614.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rna-XM_069281915.1",686,1184,1342,757,692,543,1283,1477,1396,1211,1818,755,1495,930,1076
"rna-XM_069270631.1",283,746,3010,1147,1304,579,943,977,953,2505,1647,809,1459,1208,938
