Date,LifeStage,Tank_ID,pH_treatment,Notes,salinity_meas,temp_spec,temp_meas,TA _mmol.kgSW,TCO2_mmol.kgSW,pH_Chosen_scale,pH_out_TApH,fCO2_matm_TApH,pCO2_matm_TApH,HCO3_mmol.kgSW_TApH,CO3_mmol.kgSW_TApH,CO2_mmol.kgSW_TApH,B_Alk_mmol.kgSW_TApH,OH_mmol.kgSW_TApH,P_Alk_mmol.kgSW_TApH,Si_Alk_mmol.kgSW_TApH,Revelle_TApH,WCa_TApH,WAr_TApH,xCO2_TApH,pH_out_DICpH,fCO2_matm_DICpH,pCO2_matm_DICpH,HCO3_mmol.kgSW_DICpH,CO3_mmol.kgSW_DICpH,CO2_mmol.kgSW_DICpH,B_Alk_mmol.kgSW_DICpH,OH_mmol.kgSW_DICpH,P_Alk_mmol.kgSW_DICpH,Si_Alk_mmol.kgSW_DICpH,Revelle_DICpH,WCa_DICpH,WAr_DICpH,xCO2_DICpH
8/16/2022,spat downstairs,16,7,,28.87,23.15,23.5,,1991.94,7.4395,,,,,,,,,,,,,,,7.435,1717.2,1722.8,1893.2,46.4,52.3,20.8,1.3,0,0,17.547,1.17,0.75,1772.6
8/16/2022,spat downstairs,17,7,,28.93,23.24,23.3,,1995.32,7.42,,,,,,,,,,,,,,,7.419,1781.2,1787,1896.3,44.5,54.5,20,1.2,0,0,17.562,1.12,0.72,1838.1
8/16/2022,spat downstairs,18,7,,28.89,23.15,23.5,,1995.87,7.4364,,,,,,,,,,,,,,,7.432,1732.6,1738.3,1896.9,46.2,52.8,20.7,1.3,0,0,17.551,1.16,0.75,1788.5
8/16/2022,spat downstairs,19,8,,28.92,23.17,23.5,,1726.97,8.1596,,,,,,,,,,,,,,,8.155,263.5,264.4,1523.2,195.8,8,87.6,6.8,0,0,9.276,4.92,3.18,272
8/16/2022,spat downstairs,20,8,,28.9,23.11,23.3,,1725.43,8.1547,,,,,,,,,,,,,,,8.152,265.1,266,1524.2,193.1,8.1,86.7,6.7,0,0,9.331,4.86,3.13,273.6
8/16/2022,spat downstairs,21,8,,28.91,23.16,23.4,,1748.81,8.1141,,,,,,,,,,,,,,,8.11,298.5,299.4,1559.4,180.3,9.1,80.8,6.1,0,0,9.728,4.54,2.93,308
8/16/2022,spat downstairs,22,7.5,,28.81,23.14,23.5,,1957.85,7.7553,,,,,,,,,,,,,,,7.75,808.4,811.1,1840.3,92.9,24.6,40.3,2.7,0,0,14.639,2.34,1.51,834.5
8/16/2022,spat downstairs,23,7.5,,28.9,23.13,23.5,2062,1957.41,7.763,7.758,789.5,792,1829.7,94.2,24.1,41.1,2.7,0,0,14.49,2.37,1.53,815,7.758,793.3,795.9,1838.5,94.7,24.2,41.1,2.7,0,0,14.506,2.38,1.54,818.9
8/16/2022,spat downstairs,24,7.5,,28.62,23.07,23.4,,1929.09,7.7719,,,,,,,,,,,,,,,7.767,765.6,768.1,1811.4,94.3,23.4,41.2,2.8,0,0,14.427,2.38,1.53,790.2
8/16/2022,spat downstairs,25,7,,28.89,23.2,23.5,2018.64,1992.21,7.4376,7.434,1731.4,1737.1,1903.6,46.5,52.8,20.7,1.3,0,0,17.56,1.17,0.76,1787.3,7.434,1722.2,1727.8,1893.5,46.3,52.5,20.7,1.3,0,0,17.545,1.16,0.75,1777.8
8/16/2022,spat downstairs,26,7,,28.93,23.1,23.6,,1992.79,7.4243,,,,,,,,,,,,,,,7.418,1786.6,1792.4,1893.7,44.8,54.3,20.1,1.3,0,0,17.525,1.13,0.73,1844.6
8/16/2022,spat downstairs,27,7,,28.88,23.08,23.4,,1987.51,7.4406,,,,,,,,,,,,,,,7.437,1706.5,1712.1,1889.1,46.3,52.1,20.8,1.3,0,0,17.551,1.16,0.75,1761.3
8/16/2022,spat downstairs,4,8,water mix of 4+23,28.9,23.28,23.3,,1811.66,7.9923,,,,,,,,,,,,,,,7.992,415.6,416.9,1653.9,145,12.7,64.9,4.6,0,0,11.129,3.65,2.35,428.9
8/16/2022,spat downstairs,5,8,water mix of 5+23,28.86,23.1,23.7,,1859.8,7.9938,,,,,,,,,,,,,,,7.985,435,436.4,1698.1,148.5,13.2,64.4,4.7,0,0,11.217,3.74,2.42,449.2
8/16/2022,spat downstairs,21,8,water mix of 21+24,28.77,23.12,23.4,,1859.48,7.9727,,,,,,,,,,,,,,,7.969,452.6,454.1,1704,141.6,13.8,61.8,4.4,0,0,11.501,3.57,2.3,467.2
8/18/2022,spat downstairs,1 (was 5),8,,28.78,23.24,23.9,2097.68,1839.02,8.0874,8.077,343.2,344.3,1655.1,180.1,10.4,76.5,5.9,0,0,10.134,4.54,2.93,354.5,8.077,342,343.1,1649.3,179.4,10.3,76.5,5.9,0,0,10.125,4.52,2.92,353.2
8/18/2022,spat downstairs,2 (was 21),8,,28.86,23.24,23.8,2037.02,1792.22,8.078,8.07,339.9,341,1611.8,171.9,10.3,75.5,5.8,0,0,10.145,4.33,2.8,351.1,8.07,339.6,340.7,1610.2,171.8,10.3,75.5,5.8,0,0,10.143,4.33,2.8,350.7
8/18/2022,spat downstairs,3 (was 4),8,,28.93,23.26,23.7,2077.73,1827.56,8.0801,8.073,343,344.1,1642.8,176.5,10.4,76.2,5.8,0,0,10.159,4.44,2.87,354.2,8.073,342.6,343.7,1640.9,176.3,10.4,76.2,5.8,0,0,10.156,4.44,2.87,353.8
8/18/2022,spat downstairs,10 (was 22),7.5,,28.94,23.24,23.8,2074.84,1963.93,7.7852,7.777,755.9,758.4,1829.3,99.7,22.8,43.2,2.9,0,0,14.133,2.51,1.62,780.7,7.777,760.6,763.1,1840.6,100.4,23,43.2,2.9,0,0,14.153,2.53,1.63,785.6
8/18/2022,spat downstairs,11 (was 9),7.5,,28.94,23.24,23.8,2031.19,1925.53,7.7487,7.741,812.1,814.8,1807.2,90.6,24.5,40.1,2.7,0,0,14.595,2.28,1.47,838.8,7.741,813.5,816.1,1810.2,90.8,24.6,40.1,2.7,0,0,14.6,2.28,1.48,840.2
8/18/2022,spat downstairs,12 (was 10),7.5,,28.92,23.33,23.8,2097.03,1980.29,7.7653,7.759,801.7,804.3,1858.6,97.1,24.2,41.5,2.8,0,0,14.45,2.44,1.58,828,7.759,801.9,804.5,1859,97.1,24.2,41.5,2.8,0,0,14.451,2.44,1.58,828.2
8/20/2022,spat downstairs,1,8,,28.92,23.01,24.3,1998.31,1765.14,8.0747,8.055,346.2,347.3,1584.2,166.8,10.3,74.6,5.8,0,0,10.148,4.21,2.72,357.9,8.055,347,348.1,1587.6,167.2,10.4,74.6,5.8,0,0,10.154,4.21,2.73,358.7
8/20/2022,spat downstairs,2,8,,29.21,22.99,24,1994.95,1773.24,8.056,8.041,358.6,359.7,1592.9,161.7,10.8,73.2,5.5,0,0,10.304,4.06,2.63,370.5,8.041,360.2,361.4,1600,162.4,10.8,73.2,5.5,0,0,10.315,4.08,2.64,372.1
8/20/2022,spat downstairs,3,8,,29.04,23.04,24,1995.44,1765.96,8.0729,8.058,342.3,343.4,1581.8,166.5,10.3,75,5.7,0,0,10.14,4.19,2.71,353.6,8.058,343.7,344.8,1588.5,167.2,10.3,75,5.7,0,0,10.151,4.21,2.72,355.1
8/20/2022,spat downstairs,10,7.5,,28.91,22.99,24.3,2001.44,1889.84,7.7689,7.75,781.8,784.3,1772.4,92.5,23.3,41.3,2.9,0,0,14.282,2.33,1.51,808.2,7.75,782.5,785,1774,92.5,23.3,41.3,2.9,0,0,14.285,2.33,1.51,808.9
8/20/2022,spat downstairs,11,7.5,,29.08,22.99,23.9,1997.2,1891.1,7.7695,7.756,765.8,768.3,1767.4,92.6,23.1,41.8,2.8,0,0,14.238,2.33,1.51,791,7.756,769,771.5,1775,93,23.2,41.8,2.8,0,0,14.253,2.34,1.51,794.4
8/20/2022,spat downstairs,12,7.5,,29.04,22.96,23.7,2000.93,1894.13,7.7646,7.754,772.1,774.6,1773.7,91.6,23.4,41.3,2.8,0,0,14.345,2.3,1.49,797.3,7.754,774.3,776.8,1778.8,91.9,23.5,41.3,2.8,0,0,14.355,2.31,1.49,799.6
8/22/2022,spat downstairs,1,8,,28.86,23.2,24.1,1963.46,1775.53,8.0242,8.011,384.8,386,1590.4,149.8,11.5,68.2,5.2,0,0,10.667,3.78,2.44,397.6,8.011,390,391.2,1612,151.9,11.7,68.2,5.2,0,0,10.705,3.83,2.48,403
8/22/2022,spat downstairs,2,8,,28.85,23.32,24,1961.59,1773.83,8.0245,8.014,380.7,381.9,1587.5,150.2,11.5,68.5,5.2,0,0,10.644,3.78,2.45,393.3,8.014,386.1,387.3,1609.9,152.3,11.6,68.5,5.2,0,0,10.682,3.84,2.48,398.9
8/22/2022,spat downstairs,3,8,,28.95,23.35,24,1967.77,1785.23,8.0066,7.997,400.1,401.4,1603.9,146.2,12,66.6,5,0,0,10.843,3.68,2.38,413.4,7.997,405.4,406.7,1625,148.1,12.2,66.6,5,0,0,10.879,3.73,2.41,418.8
8/22/2022,spat downstairs,10,7.5,,28.81,23.31,24.1,1964.95,1877.56,7.7539,7.743,782.7,785.2,1744.8,88.6,23.5,40.3,2.8,0,0,14.408,2.23,1.44,808.8,7.743,791.4,794,1764.3,89.5,23.7,40.3,2.8,0,0,14.446,2.26,1.46,817.8
8/22/2022,spat downstairs,11,7.5,,28.81,23.25,24.1,1967.27,1872.11,7.7671,7.755,759.3,761.7,1741.3,90.9,22.8,41.3,2.9,0,0,14.232,2.29,1.48,784.6,7.755,766.3,768.8,1757.4,91.8,23,41.3,2.9,0,0,14.264,2.31,1.5,791.8
8/22/2022,spat downstairs,12,7.5,,28.82,23.22,24.1,1971.34,1883.98,7.7539,7.741,787.8,790.3,1751.1,88.6,23.6,40.2,2.8,0,0,14.435,2.23,1.45,814,7.741,796.5,799,1770.5,89.6,23.9,40.2,2.8,0,0,14.473,2.26,1.46,823
8/24/2022,spat downstairs,1,8,,29.21,23.17,24,1990.82,1782.55,8.0171,8.005,395.2,396.5,1615.5,150.9,11.9,68.4,5.1,0,0,10.723,3.79,2.46,408.3,8.005,396.2,397.5,1619.4,151.3,11.9,68.4,5.1,0,0,10.73,3.8,2.46,409.3
8/24/2022,spat downstairs,2,8,,29.17,23.08,23.7,1983.73,1776.1,8.0237,8.014,383.7,384.9,1606.4,151.6,11.6,69.1,5.1,0,0,10.665,3.81,2.46,396.2,8.014,385.1,386.3,1612.3,152.2,11.7,69.1,5.1,0,0,10.675,3.82,2.47,397.6
8/24/2022,spat downstairs,3,8,,29.24,23.07,23.6,1980.64,1774.44,8.0174,8.009,388,389.2,1607.7,149.7,11.8,68.6,5,0,0,10.725,3.76,2.43,400.6,8.009,389.1,390.4,1612.5,150.2,11.8,68.6,5,0,0,10.733,3.77,2.44,401.8
8/24/2022,spat downstairs,10,7.5,,29.15,23.1,23.8,1994.75,1837.47,7.8778,7.868,572.6,574.4,1708.2,115.3,17.3,52.2,3.6,0,0,12.616,2.9,1.88,591.3,7.868,571.5,573.4,1705.1,115.1,17.3,52.2,3.6,0,0,12.61,2.89,1.87,590.3
8/24/2022,spat downstairs,11,7.5,,29.06,23.09,23.7,1992.28,1877.65,7.7755,7.767,743.8,746.2,1759.8,93.6,22.5,42.4,2.9,0,0,14.137,2.35,1.52,768.1,7.767,744.5,746.9,1761.4,93.7,22.5,42.4,2.9,0,0,14.14,2.36,1.52,768.8
8/24/2022,spat downstairs,12,7.5,,29.18,23.07,23.6,1983.89,1829.06,7.9006,7.893,532.4,534.1,1685.7,119.8,16.2,54.7,3.8,0,0,12.28,3.01,1.95,549.6,7.893,534.5,536.2,1692.5,120.3,16.2,54.7,3.8,0,0,12.293,3.02,1.95,551.8
8/26/2022,spat downstairs,1,8,,28.99,23.22,23.4,1963.32,1773.83,8.0175,8.015,380,381.3,1593.9,148.2,11.6,68.1,4.9,0,0,10.73,3.73,2.41,392.2,8.015,384.4,385.7,1612.2,149.9,11.7,68.1,4.9,0,0,10.762,3.77,2.43,396.8
8/26/2022,spat downstairs,2,8,,28.96,23.34,23.5,1964.02,1775.88,8.0068,8.004,391.3,392.5,1600.8,145.8,11.9,66.9,4.8,0,0,10.845,3.67,2.37,403.9,8.004,395.1,396.4,1616.7,147.2,12,66.9,4.8,0,0,10.872,3.7,2.39,407.9
8/26/2022,spat downstairs,3,8,,29.31,23.34,23.8,1976.82,1794.59,7.9951,7.988,409.9,411.2,1616.3,144.7,12.4,66.4,4.8,0,0,10.923,3.63,2.35,423.3,7.988,414.8,416.2,1635.7,146.4,12.5,66.4,4.8,0,0,10.957,3.68,2.38,428.4
8/26/2022,spat downstairs,10,7.5,,29.06,23.31,23.6,1965.4,1869.78,7.7833,7.779,710.4,712.7,1730.4,94.4,21.6,43.4,2.9,0,0,13.933,2.37,1.53,733.5,7.779,719.4,721.8,1752.4,95.6,21.8,43.4,2.9,0,0,13.976,2.4,1.55,742.8
8/26/2022,spat downstairs,11,7.5,,29.28,23.27,23.9,1965.28,1883.1,7.7539,7.745,774.4,777,1742.6,89.4,23.3,41.2,2.8,0,0,14.293,2.24,1.45,800,7.745,786.1,788.6,1768.8,90.7,23.7,41.2,2.8,0,0,14.344,2.28,1.47,812
8/26/2022,spat downstairs,12,7.5,,29.1,23.39,23.8,1963.77,1877.76,7.7514,7.746,773.8,776.3,1742.8,88.7,23.4,40.8,2.7,0,0,14.358,2.23,1.44,799.1,7.746,783.3,785.8,1764.3,89.8,23.7,40.8,2.7,0,0,14.401,2.26,1.46,809
8/29/2022,spat downstairs,1,8,,29.36,23.27,23.5,1978.89,1778.97,7.9883,7.985,413.9,415.3,1623,142.8,12.6,65.7,4.7,0,0,11.02,3.58,2.32,427.3,7.985,414.1,415.4,1623.6,142.8,12.6,65.7,4.7,0,0,11.021,3.58,2.32,427.4
8/29/2022,spat downstairs,2,8,,29.06,23.22,23.8,1981.13,1778.77,7.9913,7.983,418.3,419.7,1626,142.8,12.6,64.9,4.7,0,0,11.057,3.59,2.32,432.1,7.983,417.7,419.1,1623.6,142.5,12.6,64.9,4.7,0,0,11.053,3.58,2.32,431.4
8/29/2022,spat downstairs,3,8,,29.07,23.28,23.8,1981.27,1777.66,7.998,7.99,409.8,411.1,1620.9,144.9,12.4,65.9,4.8,0,0,10.96,3.64,2.36,423.2,7.99,409.7,411,1620.5,144.8,12.4,65.9,4.8,0,0,10.959,3.64,2.36,423.1
8/29/2022,spat downstairs,10,7.5,,29.1,23.24,24.1,1985.11,1862.4,7.7585,7.746,781.4,784,1759.7,90.7,23.4,41.1,2.8,0,0,14.308,2.28,1.48,807.5,7.746,776.7,779.2,1748.9,90.2,23.3,41.1,2.8,0,0,14.287,2.27,1.47,802.6
8/29/2022,spat downstairs,11,7.5,,29.12,23.19,23.9,1984.25,1877.42,7.7401,7.73,813.7,816.4,1767.5,87.2,24.5,39.6,2.7,0,0,14.589,2.19,1.42,840.6,7.73,812.9,815.6,1765.8,87.1,24.5,39.6,2.7,0,0,14.585,2.19,1.42,839.7
8/29/2022,spat downstairs,12,7.5,,29.02,23.23,23.8,1977.6,1867.96,7.7527,7.745,781.9,784.4,1756.3,89,23.6,40.5,2.7,0,0,14.421,2.24,1.45,807.5,7.745,781.5,784,1755.4,89,23.6,40.5,2.7,0,0,14.419,2.24,1.45,807.1
9/1/2022,spat downstairs,1,8,,28.94,23.09,23.6,1977.46,1769.44,7.9704,7.963,441.2,442.6,1639.1,136,13.4,61.9,4.4,0,0,11.378,3.42,2.21,455.5,7.963,436.5,437.9,1621.6,134.6,13.3,61.9,4.4,0,0,11.346,3.39,2.19,450.7
9/1/2022,spat downstairs,2,8,,28.48,23.04,23.6,1974.73,1778.89,7.9684,7.96,446.2,447.7,1642.5,133.8,13.6,60.2,4.4,0,0,11.521,3.38,2.18,460.7,7.96,443.5,444.9,1632.4,133,13.5,60.2,4.4,0,0,11.502,3.36,2.17,457.9
9/1/2022,spat downstairs,3,8,,29.09,23.09,23.7,1969.75,1783.63,7.9618,7.953,450.7,452.2,1636.6,133.7,13.6,61.3,4.4,0,0,11.44,3.36,2.17,465.5,7.953,450.7,452.1,1636.3,133.7,13.6,61.3,4.4,0,0,11.439,3.36,2.17,465.4
9/1/2022,spat downstairs,10,7.5,,29.07,23.18,23.7,1975.45,1869.3,7.7875,7.78,712.5,714.9,1738.2,95.4,21.6,43.6,2.9,0,0,13.909,2.4,1.55,735.8,7.78,718,720.3,1751.4,96.1,21.7,43.6,2.9,0,0,13.935,2.42,1.56,741.4
9/1/2022,spat downstairs,11,7.5,,29,23.11,23.6,1977.15,1854.38,7.797,7.79,695.5,697.8,1736.1,96.9,21.1,44.2,3,0,0,13.811,2.44,1.58,718.1,7.79,695.6,697.9,1736.3,96.9,21.1,44.2,3,0,0,13.812,2.44,1.58,718.2
9/1/2022,spat downstairs,12,7.5,,29.24,23.17,23.5,1975.46,1865.6,7.795,7.79,692.6,694.9,1733.6,97.1,21.1,44.6,3,0,0,13.762,2.44,1.58,715,7.79,697.8,700,1746.5,97.8,21.2,44.6,3,0,0,13.787,2.46,1.59,720.3
9/8/2022,Juveniles,7.5A (10),7.5,sample 1,28.32,23.14,22,1977.26,1904.68,7.6729,7.689,902.8,905.8,1794.9,73.5,28.7,33.4,2,0,0,15.891,1.85,1.19,929.6,7.689,906.4,909.4,1802.1,73.8,28.8,33.4,2,0,0,15.905,1.86,1.19,933.4
9/8/2022,Juveniles,7.5B (11),7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,7.5C (12),7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,7.5D (13),7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,8A Green (1) ,8,sample 5,28.51,22.89,22,1973.64,1869.7,7.7629,7.776,721.6,724,1754.5,88.1,22.9,40.4,2.5,0,0,14.582,2.22,1.42,743,7.776,723.2,725.6,1758.4,88.3,23,40.4,2.5,0,0,14.59,2.22,1.43,744.7
9/8/2022,Juveniles,8B Green (2),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,8C Green (3),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,8D Green (4),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,8A Green/purple (1),7,sample 9,28.51,22.91,22,1973.98,1874.05,7.7529,7.766,739.9,742.4,1759.2,86.4,23.5,39.6,2.4,0,0,14.728,2.17,1.4,761.9,7.766,741.9,744.3,1763.8,86.7,23.6,39.6,2.4,0,0,14.737,2.18,1.4,763.9
9/8/2022,Juveniles,8B Green/purple (2),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,8C Green/purple (3),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2022,Juveniles,8D Green/purple (4),7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2022,Juveniles,7.5A (10),7.5,,28.37,22.97,22,1952.39,1880.06,7.6276,7.641,1004.4,1007.7,1789,65.7,31.9,30.3,1.8,0,0,16.439,1.65,1.06,1034.3,7.641,1000.9,1004.2,1782.8,65.4,31.8,30.3,1.8,0,0,16.427,1.65,1.06,1030.7
9/12/2022,Juveniles,7.5C (12),7.5,,28.34,22.89,21.9,1954.03,1883.83,7.6285,7.642,1002.2,1005.6,1790.8,65.6,32,30.3,1.8,0,0,16.462,1.65,1.06,1031.9,7.642,999.8,1003.2,1786.5,65.4,31.9,30.3,1.8,0,0,16.453,1.65,1.06,1029.4
9/12/2022,Juveniles,8B Green (2),8,,28.35,22.92,21.9,1965.38,1832.69,7.811,7.826,632.5,634.6,1725.4,96.5,20.2,44.2,2.7,0,0,13.887,2.43,1.56,651.2,7.826,629.2,631.3,1716.6,96,20.1,44.2,2.7,0,0,13.87,2.42,1.55,647.9
9/12/2022,Juveniles,8D Green (4),8,,28.32,22.83,22,1952.01,1829.78,7.8002,7.812,650.8,653,1719.3,93.5,20.7,43.1,2.7,0,0,14.05,2.35,1.51,670.2,7.812,649.5,651.6,1715.8,93.3,20.7,43.1,2.7,0,0,14.043,2.35,1.51,668.8
9/12/2022,Juveniles,8B Green/purple (2),7,,28.35,22.97,21.9,1965.35,1840.13,7.7704,7.786,701.1,703.4,1744.1,89,22.4,40.8,2.5,0,0,14.49,2.24,1.44,721.8,7.786,695.3,697.6,1729.7,88.2,22.2,40.8,2.5,0,0,14.461,2.22,1.43,715.9
9/12/2022,Juveniles,8D Green/purple (4),7,,28.28,23.17,21.8,1950.43,1840.74,7.7191,7.738,785.1,787.7,1752,79.7,25.1,36.8,2.2,0,0,15.209,2.01,1.29,808.2,7.738,778.3,780.9,1736.8,79,24.9,36.8,2.2,0,0,15.177,1.99,1.28,801.2
9/14/2022,Juveniles,7.5B (11),7.5,,28.33,23.24,21.7,1922.73,1870.21,7.6598,7.681,893.5,896.5,1749,69.6,28.6,32.7,1.9,0,0,15.963,1.75,1.12,919.7,7.681,904.6,907.7,1770.8,70.4,29,32.7,1.9,0,0,16.009,1.77,1.14,931.1
9/14/2022,Juveniles,7.5D (13),7.5,,28.22,23.18,22,1922.06,1868.95,7.6611,7.677,903.3,906.3,1748.6,69.5,28.7,32.5,2,0,0,15.967,1.75,1.12,930.1,7.677,914.1,917.1,1769.5,70.4,29.1,32.5,2,0,0,16.01,1.77,1.14,941.3
9/14/2022,Juveniles,8A Green (1) ,8,,28.27,23.18,21.9,1918.43,1814.12,7.8348,7.853,574.7,576.7,1670.2,99.4,18.3,46.6,2.9,0,0,13.409,2.5,1.61,591.8,7.853,583.2,585.1,1694.7,100.8,18.6,46.6,2.9,0,0,13.459,2.54,1.63,600.4
9/14/2022,Juveniles,8C Green (3),8,,28.27,23.19,22,1922.32,1819.74,7.8236,7.841,595.1,597.1,1679.1,97.4,18.9,45.5,2.9,0,0,13.579,2.45,1.57,612.8,7.841,603.2,605.2,1701.8,98.7,19.2,45.5,2.9,0,0,13.625,2.49,1.6,621.1
9/14/2022,Juveniles,8A Green/purple (1),7,,28.27,23.19,22,1918.66,1827.04,7.7956,7.813,638.8,640.9,1689.2,91.9,20.3,43,2.7,0,0,13.994,2.31,1.48,657.8,7.813,647.8,650,1713.3,93.2,20.6,43,2.7,0,0,14.044,2.35,1.51,667.1
9/14/2022,Juveniles,8C Green/purple (3),7,,28.26,23.24,21.9,1916.85,1826.53,7.7894,7.809,644.8,646.9,1690.3,90.7,20.6,42.6,2.6,0,0,14.081,2.28,1.47,663.9,7.809,653.7,655.9,1713.7,92,20.9,42.6,2.6,0,0,14.13,2.32,1.49,673.1
9/19/2022,Juveniles,7.5A (10),7.5,,28.8,23.17,22.3,1936.67,1853.61,7.7311,7.743,766.7,769.3,1731.1,82.3,24.1,38.6,2.4,0,0,14.822,2.07,1.33,789.9,7.743,773.5,776,1746.3,83,24.3,38.6,2.4,0,0,14.853,2.08,1.34,796.8
